name,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19
22-1,31.23684159617959,15.129010012079553,-3.1746476648718764,-0.13767171991188795,16.522459276808323,15.045283317515503,-5.8568994665285725,-2.0722455921681573,11.099442812874509,3.9568560444183944,-5.773415517139303,-1.2987929412594579,-1.8629700637467295,4.426903286411537,-0.8065959073373526,-1.447755887920348,0.014756668064274859,0.09479084458095137,-0.21136237418426662,-0.6783029232777216
22-2,1.671221159525173,4.680084279036454,-10.157216503794203,-0.7437771878159619,3.0756701103237907,-2.8510717274288266,-5.814138239433165,-1.9840261107817134,-4.484448932411742,0.26329955303702063,1.417854944601305,0.054285128254491874,-2.896101432986136,-2.1860811014728507,-2.392777481037773,-1.1172995253616744,2.0905775027846025,3.105760198325945,-1.9923049694940103,3.1045393278363136
22-3,38.040266156787325,37.755411776320045,25.76382110034912,-7.183520584396155,-3.1135502813609075,-5.840637780593588,4.859923199862376,-0.4319276488106133,-0.04702669523311398,-6.264334080231669,4.131317492321775,-0.5711091202799247,-4.101944172183877,-0.8869054397330027,-0.4117219248544457,-0.6213158579735695,0.09375863855112498,0.0291823698830515,0.2956111241608491,0.18782855589792632
22-4,1.8922119284159615,9.394460817119827,-11.670054463726427,-3.699938801542377,0.6029240547935676,-6.651128928026666,-3.932118435302298,-3.455253587448081,-5.687523395405215,2.980057590031773,-1.6495525302555918,2.609582858736282,-0.8621416993698526,0.3781147258995796,-0.5473998028642458,-3.205260039846737,-2.8200409096774814,2.663336570509645,2.400955248913993,5.078141892652541
22-5,0.8831528218600116,8.174733456748015,-12.441716527654423,-4.6931419235924166,-0.577219083840995,-3.2372856364683567,2.626773587589402,-1.9943286812482872,0.14972893935021364,6.661313367725473,3.6429458786809805,-0.7122722246568363,-3.192900504155577,-2.5163459900992384,-1.2971636577409016,4.483594216755039,2.1173425333115667,-0.7856486524321346,-0.9961275595638398,-1.7238079508350903
22-6,1.2054052820879526,9.154952814642188,-12.301448069402829,-5.293411407242657,1.8439664406464964,-2.5296617057073476,0.9986388200634211,0.6080078318920532,-1.3282163909346423,4.343801494182384,3.289718320058693,0.5031031648845585,-2.0299067476794654,-1.1480839365470936,-0.35623401005249455,6.07625884957514,0.6664603659442316,1.449507640383285,-0.9034359188495577,-1.228976445051001
22-7,-18.36202936147284,-2.309525112556782,2.490535943896667,-15.679022726994587,19.175952755640445,0.6728100109340233,-0.04079404515613882,-2.3475452665362084,-0.11397612324083067,-4.220791776794196,4.388592084844874,2.7487639227795486,9.263742011200712,-4.981307332851852,2.8840570306658626,-0.43131229018046047,1.3697205326783075,-2.2496812739644945,-1.562228918011494,0.7303882980077202
22-8,-21.018289699590657,-5.902583610811939,0.6111640527478718,2.103170755741683,5.768859234098941,-4.950120749416748,-2.01733101676727,0.08505655130110343,-2.70966404549104,-4.134815187209934,-0.579359000817677,-1.4078387095572493,-2.7237181035958797,3.7699328515354784,-2.961715771533187,-1.5897690078544522,-3.290975053729357,-2.0074858782289073,0.3680004433191896,1.3263299442318721
22-9,-20.85302743411363,-0.9453002292297508,-1.8890290790231459,-3.679967324453524,2.278928979153882,-4.274706330771496,7.740539007860158,-0.31278947939450463,0.3670082149498987,1.3290369302895897,-0.6313984447182285,-2.370928880031654,-2.1632370148613878,4.875103352281232,0.144240436496895,4.085701660518775,-3.835693524082723,-3.119847593124924,1.4272859427211564,-0.5897076274508896
22-10,7.18437599356229,3.4199575111830876,-9.672624475215569,8.763757431701725,-2.8572621671117164,-5.210539529955701,-3.623829407489526,-2.3491672295975063,-1.6538423945382403,-6.357690175439927,-5.48417088079264,-3.727985397670434,-0.816051545307296,-0.3405362077700893,6.243282848713831,0.45204810483127816,1.17388897546341,-2.946553365851561,-1.263085692930536,-0.0893562236739432
