Compound,SMILES,R1,R2,R3,DENV % @ 50 uM,WNV % @ 50 uM,DENV2proHeLa % @ 12.5 uM,DENV2proHeLa EC50 (uM),CC50 (uM),thrombin % @ 25 uM,trypsin % @ 50 uM,virus titer reduction assay % @ 12.5 uM,virus titer reduction assay EC50 (uM)
17,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NC3=CC=C(CC(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=C(C=C1)CC(N)=O,n.i.,n.i.,47.2 +/- 1.1,n.d.,> 50,n.i.,n.i.,,
18,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,13.2 +/- 6.8,21.6 +/- 0.9,65.8 +/- 2.0,6.3 +/- 0.2,> 100,n.i.,n.i.,34.2 (@ 10 uM),
19,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NNC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NNC1=CC=C(C=C1)C(N)=O,18.5 +/- 3.5,33.8 +/- 3.4,59.9 +/- 1.7,8.7 +/- 0.1,> 25,n.i.,22.0 +/- 1.7,,
20,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCCC1=CC=C(C=C1)C(N)=O,n.i.,21.7 +/- 3.0,61.6 +/- 6.5,7.7 +/- 0.4,> 100,n.i.,n.i.,,
21,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(NC(C)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)NC(C)=O,n.i.,15.2 +/- 3.8,55.4 +/- 8.1,13.9 +/- 1.1,> 100,11.6 +/- 6.3,n.i.,,
22,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(NC(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)NC(N)=O,23.1 +/- 5.1,34.2 +/- 4.7,24.0 +/- 8.8,n.d.,> 50,n.i.,10.6 +/- 2.5,,
23,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(NN)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(NN)=O,28.3 +/- 4.3,55.0 +/- 2.9,30.7 +/- 7.2,n.d.,> 50,15.7 +/- 2.6,n.i.,,
24,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(NO)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(NO)=O,46.1 +/- 1.3,19.6 +/- 6.1  ,39.5 +/- 1.9,n.d.,> 50,16.0 +/- 5.7,n.i.,,
25,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(O)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(O)=O,n.i.,n.i.,13.7 +/- 6.9,n.d.,> 50,n.i.,n.i.,,
26,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NC3=CC=C(S(N)(=O)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=C(C=C1)S(N)(=O)=O,n.i.,20.9 +/- 0.9,n.i.,n.d.,> 50,n.i.,n.i.,,
27,O=C(CCCCC)N[C@@H](C1=CC=CC=C1)C(NCC2=CC=C(C(N)=O)C=C2)=O,O=CCCCCC,N[C@H](C=O)C1=CC=CC=C1,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,14.9 +/- 4.6,n.d.,> 50,n.i.,n.i.,,
