template_name,alkyne_name,template_smi,alkyne_smi,molecule_smi,synthesis_order,abl1_ic50_nM,abl2_ic50_nM,synthesis_success,abl1_pIC50
16-4,22-22,Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc(Nc2ccccc2)nc1,Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc(Nc2ccccc2)nc1,22.0,230.0,10000.0,yes,6.638272163982407
16-4,22-27,Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc(C)s1,Cc1ncc(C#Cc2cc(NC(=O)c3ccc(Cn4ccnc4)c(C(F)(F)F)c3)ccc2C)s1,74.0,,,no,
19,22-2,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cnc2ccccn12,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5ccccn45)n(C)n3)cc2C(F)(F)F)CC1,38.0,3000.0,10000.0,yes,5.522878745280337
19,22-4,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cnc2cccnn12,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,49.0,27.0,47.0,yes,7.568636235841013
19,22-5,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cncc2nccn12,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncc5nccn45)n(C)n3)cc2C(F)(F)F)CC1,30.0,2.0,4.1,yes,8.698970004336019
19,22-6,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cnc2cnccn12,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,25.0,0.4,3.3,yes,9.397940008672037
19,22-7,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cncn1C,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncn4C)n(C)n3)cc2C(F)(F)F)CC1,50.0,38.0,55.0,yes,7.42021640338319
19,22-9,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cnccn1,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnccn4)n(C)n3)cc2C(F)(F)F)CC1,45.0,,,no,
19,22-10,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cnc2ccccc2n1,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5ccccc5n4)n(C)n3)cc2C(F)(F)F)CC1,69.0,23.0,83.0,yes,7.638272163982407
19,22-11,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cnc2[nH]ccc2n1,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5[nH]ccc5n4)n(C)n3)cc2C(F)(F)F)CC1,7.0,9.0,43.0,yes,8.045757490560675
19,22-13,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cnc2scnc2c1,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5scnc5c4)n(C)n3)cc2C(F)(F)F)CC1,54.0,110.0,500.0,yes,6.958607314841775
19,22-14,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cnc2cn[nH]c2c1,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cn[nH]c5c4)n(C)n3)cc2C(F)(F)F)CC1,16.0,6.0,14.0,yes,8.221848749616356
19,22-15,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cccnc1,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cccnc4)n(C)n3)cc2C(F)(F)F)CC1,53.0,33.0,66.0,yes,7.481486060122112
19,22-20,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1ccc(F)cc1,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4ccc(F)cc4)n(C)n3)cc2C(F)(F)F)CC1,46.0,42.0,69.0,yes,7.376750709602099
19,22-21,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cncnc1,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncnc4)n(C)n3)cc2C(F)(F)F)CC1,10.0,7.0,27.0,yes,8.154901959985743
19,22-25,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C[Si](C)(C)C#Cc1cnc2nccn2c1,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5nccn5c4)n(C)n3)cc2C(F)(F)F)CC1,37.0,,,no,
19,22-26,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C[Si](C)(C)C#Cc1cncc2nc[nH]c12,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncc5nc[nH]c45)n(C)n3)cc2C(F)(F)F)CC1,44.0,3.0,9.0,yes,8.522878745280337
19,22-27,CN1CCN(Cc2ccc(NC(=O)Nc3cc(Br)n(C)n3)cc2C(F)(F)F)CC1,C#Cc1cnc(C)s1,Cc1ncc(C#Cc2cc(NC(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)nn2C)s1,81.0,,,no,
