template_name,alkyne_name,template_smi,alkyne_smi,molecule_smi,synthesis_order,abl1_ic50_nM,abl2_ic50_nM,synthesis_success,abl1_pIC50
8-2,22-2,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2ccccn12,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,0.0,19.0,,yes,7.721246399047171
8-2,22-3,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2ccc(C(F)(F)F)cn12,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccc(C(F)(F)F)cn12,27.0,59.0,95.0,yes,7.229147988357855
8-2,22-4,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2cccnn12,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,0.0,12.0,,yes,7.920818753952375
8-2,22-5,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cncc2nccn12,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,33.0,6.0,17.0,yes,8.221848749616356
8-2,22-6,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2cnccn12,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,34.0,3.0,8.0,yes,8.522878745280337
8-2,22-9,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnccn1,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnccn1,89.0,,,no,
8-2,22-15,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cccnc1,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccnc1,18.0,,,no,
8-2,22-25,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1I,C[Si](C)(C)C#Cc1cnc2nccn2c1,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,68.0,,,no,
8-2,22-26,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1I,C[Si](C)(C)C#Cc1cncc2nc[nH]c12,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,59.0,14.0,26.0,yes,7.853871964321762
8-3,22-5,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cncc2nccn12,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,55.0,45.0,82.0,yes,7.346787486224656
8-3,22-6,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2cnccn12,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,42.0,,,no,
8-3,22-7,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cncn1C,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,4.0,190.0,900.0,yes,6.721246399047171
8-3,22-10,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2ccccc2n1,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccc2n1,64.0,220.0,590.0,yes,6.657577319177793
8-3,22-11,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2[nH]ccc2n1,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2n1,90.0,280.0,470.0,yes,6.552841968657781
8-3,22-16,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1ccncc1,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccncc1,21.0,10000.0,10000.0,yes,5.0
8-3,22-19,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cccc(F)c1,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccc(F)c1,77.0,10000.0,10000.0,yes,5.0
8-3,22-20,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1ccc(F)cc1,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(F)cc1,78.0,10000.0,10000.0,yes,5.0
8-3,22-23,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1ccc(N)nc1,Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nc1,11.0,180.0,1000.0,yes,6.7447274948966935
8-4,22-4,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2cccnn12,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,51.0,,,no,
8-4,22-5,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C#Cc1cncc2nccn12,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,41.0,17.0,36.0,yes,7.769551078621726
8-4,22-6,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2cnccn12,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,40.0,,,no,
8-4,22-8,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C#Cc1ccccn1,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ccccn1,75.0,10000.0,93000.0,yes,5.0
8-4,22-17,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C#Cc1ccccc1,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ccccc1,86.0,10000.0,10000.0,yes,5.0
8-4,22-19,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C#Cc1cccc(F)c1,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cccc(F)c1,19.0,10000.0,10000.0,yes,5.0
8-4,22-25,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C[Si](C)(C)C#Cc1cnc2nccn2c1,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,9.0,,,no,
8-4,22-26,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1I,C[Si](C)(C)C#Cc1cncc2nc[nH]c12,Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,3.0,,,no,
8-5,22-1,Cc1ccc(C(=O)Nc2ccccc2)cc1I,C#Cc1cnc2ccc(C(=N)OC)cn12,COC(=N)c1ccc2ncc(C#Cc3cc(C(=O)Nc4ccccc4)ccc3C)n2c1,2.0,10000.0,10000.0,yes,5.0
8-5,22-12,Cc1ccc(C(=O)Nc2ccccc2)cc1I,C#Cc1cnc2cccnc2c1,Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1cnc2cccnc2c1,63.0,6000.0,10000.0,yes,5.221848749616356
8-5,22-13,Cc1ccc(C(=O)Nc2ccccc2)cc1I,C#Cc1cnc2scnc2c1,Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1cnc2scnc2c1,88.0,10000.0,10000.0,yes,5.0
8-5,22-17,Cc1ccc(C(=O)Nc2ccccc2)cc1I,C#Cc1ccccc1,Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1ccccc1,24.0,10000.0,10000.0,yes,5.0
8-5,22-18,Cc1ccc(C(=O)Nc2ccccc2)cc1I,C#Cc1cccc(C#N)c1,Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1cccc(C#N)c1,73.0,10000.0,10000.0,yes,5.0
8-5,22-22,Cc1ccc(C(=O)Nc2ccccc2)cc1I,C#Cc1cnc(Nc2ccccc2)nc1,Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1cnc(Nc2ccccc2)nc1,60.0,,,no,
8-5,22-24,Cc1ccc(C(=O)Nc2ccccc2)cc1I,C#Cc1ccccc1F,Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1ccccc1F,84.0,10000.0,10000.0,yes,5.0
8-5,22-27,Cc1ccc(C(=O)Nc2ccccc2)cc1I,C#Cc1cnc(C)s1,Cc1ncc(C#Cc2cc(C(=O)Nc3ccccc3)ccc2C)s1,8.0,8000.0,10000.0,yes,5.096910013008056
16-1,22-2,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2ccccn12,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,0.0,9.0,,yes,8.045757490560675
16-1,22-3,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2ccc(C(F)(F)F)cn12,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccc(C(F)(F)F)cn12,12.0,24.0,86.0,yes,7.619788758288394
16-1,22-4,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2cccnn12,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,47.0,45.0,39.0,yes,7.346787486224656
16-1,22-5,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cncc2nccn12,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,31.0,,,no,
16-1,22-6,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2cnccn12,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,32.0,1.0,3.0,yes,9.0
16-1,22-7,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cncn1C,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,28.0,11.0,19.0,yes,7.958607314841775
16-1,22-14,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1cnc2cn[nH]c2c1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cn[nH]c2c1,82.0,,,no,
16-1,22-20,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1I,C#Cc1ccc(F)cc1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(F)cc1,17.0,1700.0,10000.0,yes,5.769551078621726
