molecule_smi,abl1_pIC50
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,7.769551078621726
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,7.337242168318426
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2n1,6.657577319177793
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnc2c1,6.7447274948966935
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(F)cc1,5.0
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccccc1F,5.0
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,7.795880017344075
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,8.154901959985743
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccc2n1,6.886056647693163
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ccncc1,5.0
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncnc1,6.638272163982407
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc(Nc2ccccc2)nc1,6.638272163982407
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5ccccn45)n(C)n3)cc2C(F)(F)F)CC1,5.522878745280337
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,7.568636235841013
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncc5nccn45)n(C)n3)cc2C(F)(F)F)CC1,8.698970004336019
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,9.397940008672037
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncn4C)n(C)n3)cc2C(F)(F)F)CC1,7.42021640338319
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5ccccc5n4)n(C)n3)cc2C(F)(F)F)CC1,7.638272163982407
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5[nH]ccc5n4)n(C)n3)cc2C(F)(F)F)CC1,8.045757490560675
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5scnc5c4)n(C)n3)cc2C(F)(F)F)CC1,6.958607314841775
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cn[nH]c5c4)n(C)n3)cc2C(F)(F)F)CC1,8.221848749616356
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cccnc4)n(C)n3)cc2C(F)(F)F)CC1,7.481486060122112
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4ccc(F)cc4)n(C)n3)cc2C(F)(F)F)CC1,7.376750709602099
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncnc4)n(C)n3)cc2C(F)(F)F)CC1,8.154901959985743
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncc5nc[nH]c45)n(C)n3)cc2C(F)(F)F)CC1,8.522878745280337
