molecule_smi,synthesis_success
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cn[nH]c2c1,0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(F)cc1,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccccn1,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2scnc2c1,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccc(C#N)c1,0
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,0
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,1
COC(=N)c1ccc2ncc(C#Cc3cc(NC(=O)c4ccc(CN5CCC(O)CC5)c(C(F)(F)F)c4)ccc3C)n2c1,0
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,1
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,0
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnccn1,0
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2n1,1
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnc2c1,1
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(F)cc1,1
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccccc1F,1
COC(=N)c1ccc2ncc(C#Cc3cc(NC(=O)c4ccc(Cn5ccnc5)c(C(F)(F)F)c4)ccc3C)n2c1,0
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,1
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,1
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccc2n1,1
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ccncc1,1
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncnc1,1
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc(Nc2ccccc2)nc1,1
Cc1ncc(C#Cc2cc(NC(=O)c3ccc(Cn4ccnc4)c(C(F)(F)F)c3)ccc2C)s1,0
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5ccccn45)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncc5nccn45)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncn4C)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnccn4)n(C)n3)cc2C(F)(F)F)CC1,0
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5ccccc5n4)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5[nH]ccc5n4)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5scnc5c4)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cn[nH]c5c4)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cccnc4)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4ccc(F)cc4)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncnc4)n(C)n3)cc2C(F)(F)F)CC1,1
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5nccn5c4)n(C)n3)cc2C(F)(F)F)CC1,0
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncc5nc[nH]c45)n(C)n3)cc2C(F)(F)F)CC1,1
Cc1ncc(C#Cc2cc(NC(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)nn2C)s1,0
